room,time,title,type,description,presenters,fields
SET 105,10:00 AM,B1.1 Insights on Undergraduate Research at Utah Tech University,Panel,"Join our panel discussion to learn about the benefits, challenges, and impact of undergraduate research on students and society. Hear about research opportunities currently happening at Utah Tech University.","Moderator: Kathie Ott
Panelists: Rico Del Sesto, Aaron Davis, Sam Tobler, Ren Quinn","[""All Majors""]"
SET 106,10:00 AM,B1.2 Choosing the Right Degree for Pre-Med,Lecture,"Explore the various degree options available to students interested in pursuing a career in medicine. Join us to learn about the benefits, challenges, and prerequisites of different degree paths and get advice on selecting the best fit for your career goals.","Presenters: Jennifer Meyer, Heidi Heiner, Tracy Heatherington","[""All Majors""]"
SET 201,10:00 AM,B1.3 Discover the World of Science Based Internships,Panel,"Our panel of experts will share their experiences and offer advice on how to find and apply for undergraduate science-based internships. Learn about the benefits, challenges, and impact of internships on your career, and get tips on how to make the most of these valuable opportunities.","Moderator: Leann Weibert
Panelists: Greg Melton, Doug Sainsbury, Leann Weibert","[""Biology"", ""Bioinformatics"", ""Biotechnology"", ""Chem/Biochem"", ""EES"", ""Geoscience"", ""STEM Education""]"
SET 301,10:00 AM,B1.4 Level Unlocked: Tech Based Internships,Panel,"Our expert panel shares their insights on how to find and apply for undergraduate internships in tech related fields. Learn about the skills, experiences, and opportunities that can help you succeed and advance your career in these in-demand areas.","Moderator: Kim Bowler
Panelists: Jeremey Forsberg, Joe Francom, Scott Skeen","[""Applied & Computational Mathematics"", ""Bioinformatics"", ""Chem/Biochem"", ""Computer Science"", ""Cybersecurity"", ""Design"", ""Engineering"", ""Information Technology"", ""Mathematics"", ""STEM Education"", ""Software Engineering""]"
SET 418,10:00 AM,B1.5 Prompt Engineering and the Ethics of AI in Higher Education,Lecture,"Explore prompt engineering and the ethics of using AI in your educational journey. This presentation will address prompt engineering to support learning, responsible AI usage, potential biases, and strategies for fair and effective integration. Attendees will gain insights into the ethical considerations for use within academic environments.","Presenter: Curtis Larsen, Konnor Young","[""All Majors""]"
SET 105,10:30 AM,B2.1 Insights on Undergraduate Research at Utah Tech University,Panel,"Join our panel discussion to learn about the benefits, challenges, and impact of undergraduate research on students and society. Hear about research opportunities currently happening at Utah Tech University.","Moderator: Kathie Ott
Panelists: Rico Del Sesto, Aaron Davis, Sam Tobler","[""All Majors""]"
SET 106,10:30 AM,B2.2 Medical Based Graduate School Admissions,Lecture,"An overview of the steps involved in preparing to apply to medical based graduate programs (Medical, Vet, Dental, etc.). Topics will include identifying potential programs, selecting faculty advisors, crafting a strong application package, and understanding the admissions process.","Presenters: Jennifer Meyer, Heidi Heiner, Tracy Heatherington","[""All Majors""]"
SET 201,10:30 AM,B2.3 Discover the World of Science Based Internships,Panel,"Our panel of experts will share their experiences and offer advice on how to find and apply for undergraduate science-based internships. Learn about the benefits, challenges, and impact of internships on your career, and get tips on how to make the most of these valuable opportunities.","Moderator: Leann Weibert
Panelists: Greg Melton, Doug Sainsbury, Leann Weibert","[""Biology"", ""Bioinformatics"", ""Biotechnology"", ""Chem/Biochem"", ""EES"", ""Geoscience"", ""STEM Education""]"
SET 301,10:30 AM,B2.4 Level Unlocked: Tech Based Internships,Panel,"Our expert panel shares their insights on how to find and apply for undergraduate internships in engineering and programming fields. Learn about the skills, experiences, and opportunities that can help you succeed and advance your career in these in-demand fields.","Moderator: Kim Bowler
Panelists: Jeremey Forsberg, Joe Francom, Scott Skeen","[""Applied & Computational Mathematics"", ""Bioinformatics"", ""Chem/Biochem"", ""Computer Science"", ""Cybersecurity"", ""Design"", ""Engineering"", ""Information Technology"", ""Mathematics"", ""STEM Education"", ""Software Engineering""]"
SET 418,10:30 AM,B2.5 Data in All its Forms,Panel,"Discover diverse academic paths in data-related fields at Utah Tech. This presentation will give students further information on majors on campus, differences in career opportunites, and the skills needed to succeed in the evolving data-driven landscape.","Moderator: Dani Gutierrez
Panelists: Ren Quinn, Matt Harris, Helen Saar, Vinodh Chellamuthu","[""All Majors""]"
SET 420,10:30 AM,B2.6 Innovation Plaza,Lecture,"Atwood Innovation Plaza at Utah Tech boasts numerous resources and personnel a student or community member may need to either launch or grow their business. Come and learn - it's free to learn, free to innovate, free to gain consultation.","Presenters: Dr. Provost, Bonnie Jensen, Bailee Larkin","[""All Majors""]"
SET 524,10:30 AM,B2.7 Office Hours Unlocked: Your secret weapon for freshman success,Lecture,Learn essential tips and strategies for freshmen to effectively utilize professor office hours - increasing academic success and building powerful connections with faculty.,Presenter: Christina Pondell,"[""All Majors""]"
SET 105,11:00 AM,B3.1 Discovery and Design Day: How student projects embody active learning. active life.,Panel,"Explore program showcase options available in various CSET programs. Students will learn about opportunities where they will be expected to showcase their work such as Design Day, Computing Showcase, Senior Project Exhibitions, Poster Sessions, Research Symposiums, etc. They will gain insight into the benefits of participating in these showcase events for their future career prospects.","Moderator: Kim Bowler
Panelists: Sam Tobler, Rachel Ramsay, Vinodh Chellamuthu, Matt Kearl","[""All Majors""]"
